"","University","n"
"1","Asa University Bangladesh",1
"2","Bangabandhu Sheikh Mujibur Rahman Science and Technology University ",1
"3","Bangladesh Agricultural University ",1
"4","Bangladesh University   ",1
"5","Bangladesh University of Business and Technology",1
"6","Bangladesh University of Engineering and Technology",1
"7","Begum Rokeya University",1
"8","BRAC University",1
"9","Central Women's University",1
"10","Chittagong Medical College",1
"11","Chittagong University",11
"12","Dhaka University",26
"13","East West University",1
"14","Eden College",2
"15","Gono Bishwabidyaloy ",1
"16","Jagannath University",2
"17","Jahangirnagar University",4
"18","Kazi Nazrul Islam University",3
"19","Khulna Universit of Engineering Technology",1
"20","Khulna University",1
"21","Kustia University",7
"22","Leading University",2
"23","North South University ",2
"24","Northern university",1
"25","Pabna Edward collecge",1
"26","Potuakhali Science and Technology University ",1
"27","Prime Asia University ",1
"28","Private University",6
"29","Rajshahi Medical College ",1
"30","Rajshahi Medical College Hospital ",1
"31","Rajshahi University",11
"32","Santo Mariam University",1
"33","Shah Ali Mohila College",1
"34","Shahjalal University of Science and Technology",6
"35","South East University",2
"36","Sylhet International University",1
"37","United University",1
"38","University of Liberal Arts",2
"39","Uttora Medical College ",1
"40","Varendra University",1
